description,category
Laptop not turning on,Hardware Failure
Application crashes on login,Software Bug
Hard disk failure warning,Hardware Failure
Error 500 when submitting form,Software Bug
Grant access to Jira project,Access Request
Monitor flickering,Hardware Failure
VPN keeps disconnecting,Network Issue
Grant access to Jira project,Access Request
Monitor flickering,Hardware Failure
What’s the IT policy on USBs?,General Inquiry
Error 500 when submitting form,Software Bug
Mouse not detected,Hardware Failure
Slow network speed,Network Issue
Where can I report phishing emails?,General Inquiry
Grant access to Jira project,Access Request
Where can I report phishing emails?,General Inquiry
VPN keeps disconnecting,Network Issue
Where can I report phishing emails?,General Inquiry
How do I order new equipment?,General Inquiry
VPN keeps disconnecting,Network Issue
What’s the IT policy on USBs?,General Inquiry
VPN keeps disconnecting,Network Issue
Bug in the reporting module,Software Bug
Cannot connect to WiFi,Network Issue
Need database read permissions,Access Request
VPN keeps disconnecting,Network Issue
Mouse not detected,Hardware Failure
Application crashes on login,Software Bug
Error 500 when submitting form,Software Bug
Cannot connect to WiFi,Network Issue
How to reset my password?,General Inquiry
Where can I report phishing emails?,General Inquiry
Monitor flickering,Hardware Failure
Bug in the reporting module,Software Bug
How do I order new equipment?,General Inquiry
Laptop not turning on,Hardware Failure
Monitor flickering,Hardware Failure
Cannot connect to WiFi,Network Issue
Cannot connect to WiFi,Network Issue
Grant access to Jira project,Access Request
Hard disk failure warning,Hardware Failure
Grant access to Jira project,Access Request
VPN keeps disconnecting,Network Issue
Hard disk failure warning,Hardware Failure
How to reset my password?,General Inquiry
Need database read permissions,Access Request
Where can I report phishing emails?,General Inquiry
Software freezes randomly,Software Bug
Slow network speed,Network Issue
How do I order new equipment?,General Inquiry
Hard disk failure warning,Hardware Failure
Internet is down in my office,Network Issue
Hard disk failure warning,Hardware Failure
Slow network speed,Network Issue
Bug in the reporting module,Software Bug
How to reset my password?,General Inquiry
Need database read permissions,Access Request
Cannot connect to WiFi,Network Issue
Bug in the reporting module,Software Bug
Internet is down in my office,Network Issue
Mouse not detected,Hardware Failure
Hard disk failure warning,Hardware Failure
Need database read permissions,Access Request
Cannot connect to WiFi,Network Issue
What’s the IT policy on USBs?,General Inquiry
What’s the IT policy on USBs?,General Inquiry
Error 500 when submitting form,Software Bug
Slow network speed,Network Issue
Bug in the reporting module,Software Bug
How to reset my password?,General Inquiry
Grant access to Jira project,Access Request
Cannot connect to WiFi,Network Issue
Application crashes on login,Software Bug
Need access to shared drive,Access Request
Need database read permissions,Access Request
Requesting access to email group,Access Request
Laptop not turning on,Hardware Failure
Laptop not turning on,Hardware Failure
Laptop not turning on,Hardware Failure
Cannot connect to WiFi,Network Issue
Where can I report phishing emails?,General Inquiry
Mouse not detected,Hardware Failure
Grant access to Jira project,Access Request
Bug in the reporting module,Software Bug
Application crashes on login,Software Bug
Error 500 when submitting form,Software Bug
Error 500 when submitting form,Software Bug
Laptop not turning on,Hardware Failure
Requesting access to email group,Access Request
Mouse not detected,Hardware Failure
Cannot connect to WiFi,Network Issue
Requesting access to email group,Access Request
Monitor flickering,Hardware Failure
How to reset my password?,General Inquiry
Error 500 when submitting form,Software Bug
Error 500 when submitting form,Software Bug
How do I order new equipment?,General Inquiry
Where can I report phishing emails?,General Inquiry
What’s the IT policy on USBs?,General Inquiry
How to reset my password?,General Inquiry
Hard disk failure warning,Hardware Failure
Internet is down in my office,Network Issue
Application crashes on login,Software Bug
Bug in the reporting module,Software Bug
Cannot connect to WiFi,Network Issue
Slow network speed,Network Issue
Internet is down in my office,Network Issue
Slow network speed,Network Issue
Monitor flickering,Hardware Failure
Application crashes on login,Software Bug
How to reset my password?,General Inquiry
Application crashes on login,Software Bug
Where can I report phishing emails?,General Inquiry
Cannot connect to WiFi,Network Issue
Bug in the reporting module,Software Bug
Monitor flickering,Hardware Failure
Need database read permissions,Access Request
Cannot connect to WiFi,Network Issue
Monitor flickering,Hardware Failure
Hard disk failure warning,Hardware Failure
Slow network speed,Network Issue
Bug in the reporting module,Software Bug
Internet is down in my office,Network Issue
Laptop not turning on,Hardware Failure
Mouse not detected,Hardware Failure
Internet is down in my office,Network Issue
Application crashes on login,Software Bug
Requesting access to email group,Access Request
What’s the IT policy on USBs?,General Inquiry
Requesting access to email group,Access Request
How do I order new equipment?,General Inquiry
Error 500 when submitting form,Software Bug
Error 500 when submitting form,Software Bug
Need database read permissions,Access Request
How do I order new equipment?,General Inquiry
Bug in the reporting module,Software Bug
Need database read permissions,Access Request
What’s the IT policy on USBs?,General Inquiry
Application crashes on login,Software Bug
Bug in the reporting module,Software Bug
How do I order new equipment?,General Inquiry
Application crashes on login,Software Bug
How to reset my password?,General Inquiry
Monitor flickering,Hardware Failure
Internet is down in my office,Network Issue
Requesting access to email group,Access Request
Where can I report phishing emails?,General Inquiry
Requesting access to email group,Access Request
Hard disk failure warning,Hardware Failure
Cannot connect to WiFi,Network Issue
How to reset my password?,General Inquiry
Monitor flickering,Hardware Failure
Requesting access to email group,Access Request
Where can I report phishing emails?,General Inquiry
Internet is down in my office,Network Issue
Monitor flickering,Hardware Failure
Mouse not detected,Hardware Failure
Cannot connect to WiFi,Network Issue
Requesting access to email group,Access Request
Slow network speed,Network Issue
How to reset my password?,General Inquiry
Mouse not detected,Hardware Failure
Slow network speed,Network Issue
Laptop not turning on,Hardware Failure
Monitor flickering,Hardware Failure
Where can I report phishing emails?,General Inquiry
Mouse not detected,Hardware Failure
VPN keeps disconnecting,Network Issue
Internet is down in my office,Network Issue
Internet is down in my office,Network Issue
VPN keeps disconnecting,Network Issue
Hard disk failure warning,Hardware Failure
Requesting access to email group,Access Request
Internet is down in my office,Network Issue
VPN keeps disconnecting,Network Issue
Hard disk failure warning,Hardware Failure
Internet is down in my office,Network Issue
Laptop not turning on,Hardware Failure
Grant access to Jira project,Access Request
Software freezes randomly,Software Bug
Requesting access to email group,Access Request
VPN keeps disconnecting,Network Issue
Slow network speed,Network Issue
Need database read permissions,Access Request
Requesting access to email group,Access Request
Grant access to Jira project,Access Request
Where can I report phishing emails?,General Inquiry
Requesting access to email group,Access Request
Mouse not detected,Hardware Failure
Where can I report phishing emails?,General Inquiry
Laptop not turning on,Hardware Failure
Laptop not turning on,Hardware Failure
Application crashes on login,Software Bug
Bug in the reporting module,Software Bug
Laptop not turning on,Hardware Failure
How to reset my password?,General Inquiry
How to reset my password?,General Inquiry
Where can I report phishing emails?,General Inquiry
How to reset my password?,General Inquiry
Requesting access to email group,Access Request
VPN keeps disconnecting,Network Issue
Requesting access to email group,Access Request
Application crashes on login,Software Bug
How do I order new equipment?,General Inquiry
Grant access to Jira project,Access Request
Need access to shared drive,Access Request
Application crashes on login,Software Bug
Application crashes on login,Software Bug
Requesting access to email group,Access Request
Need database read permissions,Access Request
Need database read permissions,Access Request
Monitor flickering,Hardware Failure
Need database read permissions,Access Request
Where can I report phishing emails?,General Inquiry
Requesting access to email group,Access Request
Cannot connect to WiFi,Network Issue
Software freezes randomly,Software Bug
VPN keeps disconnecting,Network Issue
Bug in the reporting module,Software Bug
VPN keeps disconnecting,Network Issue
Internet is down in my office,Network Issue
What’s the IT policy on USBs?,General Inquiry
Requesting access to email group,Access Request
Bug in the reporting module,Software Bug
Where can I report phishing emails?,General Inquiry
Internet is down in my office,Network Issue
Software freezes randomly,Software Bug
VPN keeps disconnecting,Network Issue
Cannot connect to WiFi,Network Issue
VPN keeps disconnecting,Network Issue
VPN keeps disconnecting,Network Issue
Software freezes randomly,Software Bug
Requesting access to email group,Access Request
How do I order new equipment?,General Inquiry
Bug in the reporting module,Software Bug
Grant access to Jira project,Access Request
What’s the IT policy on USBs?,General Inquiry
Grant access to Jira project,Access Request
Requesting access to email group,Access Request
Where can I report phishing emails?,General Inquiry
Error 500 when submitting form,Software Bug
Application crashes on login,Software Bug
Need access to shared drive,Access Request
Cannot connect to WiFi,Network Issue
Laptop not turning on,Hardware Failure
Need access to shared drive,Access Request
Hard disk failure warning,Hardware Failure
VPN keeps disconnecting,Network Issue
Slow network speed,Network Issue
How to reset my password?,General Inquiry
Grant access to Jira project,Access Request
What’s the IT policy on USBs?,General Inquiry
Need database read permissions,Access Request
Internet is down in my office,Network Issue
Mouse not detected,Hardware Failure
Requesting access to email group,Access Request
VPN keeps disconnecting,Network Issue
Laptop not turning on,Hardware Failure
Need database read permissions,Access Request
Internet is down in my office,Network Issue
How to reset my password?,General Inquiry
Mouse not detected,Hardware Failure
Slow network speed,Network Issue
Application crashes on login,Software Bug
Need access to shared drive,Access Request
How to reset my password?,General Inquiry
Application crashes on login,Software Bug
Grant access to Jira project,Access Request
Internet is down in my office,Network Issue
Need database read permissions,Access Request
Slow network speed,Network Issue
Requesting access to email group,Access Request
How do I order new equipment?,General Inquiry
Where can I report phishing emails?,General Inquiry
Laptop not turning on,Hardware Failure
How do I order new equipment?,General Inquiry
Laptop not turning on,Hardware Failure
Software freezes randomly,Software Bug
Need database read permissions,Access Request
Internet is down in my office,Network Issue
Software freezes randomly,Software Bug
Slow network speed,Network Issue
Error 500 when submitting form,Software Bug
Where can I report phishing emails?,General Inquiry
Software freezes randomly,Software Bug
What’s the IT policy on USBs?,General Inquiry
Mouse not detected,Hardware Failure
Slow network speed,Network Issue
Mouse not detected,Hardware Failure
Need database read permissions,Access Request
How do I order new equipment?,General Inquiry
Laptop not turning on,Hardware Failure
Internet is down in my office,Network Issue
VPN keeps disconnecting,Network Issue
Need database read permissions,Access Request
Bug in the reporting module,Software Bug
Where can I report phishing emails?,General Inquiry
How to reset my password?,General Inquiry
Application crashes on login,Software Bug
Where can I report phishing emails?,General Inquiry
